sample_group_2,n,GATA3,IL13,IFNg,IL4,IL10,PD1,Perforin,TNF,Ki67,Sample,sample_group,nil
10411,8,NA,NA,6614,2173,6703,608,6054,8973,1561,10411_BCG_024.fcs,10411,No
10411,8,NA,NA,1768,2148,6067,978,5737,3686,1541,"10411_E,2f,C_023.fcs",10411,No
10411,8,NA,NA,1344,2072,8355,740,5509,2275,1781,10411_HIV_025.fcs,10411,No
10411,8,NA,NA,1288,1788,5235,781,5938,3561,1748,10411_Nil_022.fcs,10411,Yes
10411,8,NA,NA,4614,1794,38075,NA,6363,5029,1693,"10411_E,2f,C_026.fcs",10411,No
10411,8,NA,NA,3101,1899,25157,NA,6926,1600,1686,10411_HIV_025.fcs,10411,No
10411,8,NA,NA,3176,1870,19714,NA,6573,1942,1677,10411_Nil_024.fcs,10411,Yes
10411,8,NA,NA,9322,1379,9406,NA,3604,30377,1705,10411_SEB_027.fcs,10411,No
10510,12,454,6502,3427,274,4903,665,2691,6502,NA,10510 12 month_BCG_019.fcs,10510 12 month,No
10510,12,431,1049,3934,383,2006,650,2837,2782,NA,"10510 12 month_E,2f,C_020.fcs",10510 12 month,No
10510,12,468,844,4771,257,3266,661,3010,2975,NA,10510 12 month_Nil_018.fcs,10510 12 month,Yes
10510,12,440,5050,4202,245,817,679,2650,3145,NA,10510 12 month_SEB_021.fcs,10510 12 month,No
10510,12,NA,NA,8706,1764,4185,853,2665,13796,1661,10510_BCG_020.fcs,10510,No
10510,12,NA,NA,1583,1680,3777,720,1902,3089,1906,"10510_E,2f,C_019.fcs",10510,No
10510,12,NA,NA,1187,1492,4380,819,2156,2115,1576,10510_Nil_018.fcs,10510,Yes
10510,12,NA,NA,6614,1342,5370,800,1473,11719,1397,10510_SEB_021.fcs,10510,No
10510,12,NA,NA,7064,1579,1591,NA,3083,11693,1741,10510_BCG_017.fcs,10510,No
10510,12,NA,NA,1181,1515,1835,NA,1822,8448,1664,"10510_E,2f,C_018.fcs",10510,No
10510,12,NA,NA,1670,1521,9343,NA,1920,2588,2219,10510_Nil_016.fcs,10510,Yes
10510,12,NA,NA,7064,1421,2364,NA,1718,12611,2080,10510_SEB_019.fcs,10510,No
10711,9,565,641,3532,458,3448,1168,4791,4041,1822,10711_BCG_024.fcs,10711,No
10711,9,525,807,4955,n/a,5302,666,4316,5640,1649,10711_aNil_023.fcs,10711,Yes
10711,9,487,1920,4057,279,3792,893,4263,7333,1618,"10711_dE,2f,C_025.fcs",10711,No
10711,9,573,1134,2860,556,4352,1051,3413,3386,3132,10711_eCD3_026.fcs,10711,No
10711,9,366,1179,3863,1407,2975,937,4537,6321,1702,10711_fHIV_027.fcs,10711,No
10711,9,NA,NA,3455,2044,14383,1106,2788,1080,3777,10711_BCG_029.fcs,10711,No
10711,9,NA,NA,4453,1867,16730,933,2639,1132,4862,10711_HIV_030.fcs,10711,No
10711,9,NA,NA,8373,2021,14516,1174,2670,908,3441,10711_Nil_028.fcs,10711,Yes
10711,9,NA,NA,7446,1758,16154,1181,3182,7921,5018,10711_SEB_031.fcs,10711,No
110810,18,432,672,13053,1561,288,522,2650,8524,NA,110810_BCG_024.fcs,110810,No
110810,18,436,699,17531,1804,268,518,2905,4604,NA,"110810_E,2f,C_025.fcs",110810,No
110810,18,441,1250,5497,1285,273,534,2877,4692,NA,110810_FMO run on low_028.fcs,110810,No
110810,18,n/a,657,4821,1503,276,n/a,2951,4672,NA,110810_FMO_027.fcs,110810,No
110810,18,457,2069,11800,1874,276,521,2755,2957,NA,110810_Nil_023.fcs,110810,Yes
110810,18,494,666,6067,1405,256,522,2614,3831,NA,110810_SEB_026.fcs,110810,No
110810,18,463,781,1358,2583,354,631,2544,3312,NA,110810 9-28-15_BCG_019.fcs,110810 9-28-15,No
110810,18,442,707,1355,2676,226,640,2568,3469,NA,"110810 9-28-15_E,2f,C_020.fcs",110810 9-28-15,No
110810,18,532,824,5774,2064,309,644,2519,2382,NA,110810 9-28-15_SEB_021.fcs,110810 9-28-15,No
110810,18,454,1998,812,2676,329,656,2457,4913,NA,110810 9-28-15_aNil_018.fcs,110810 9-28-15,Yes
110810,18,478,2359,3138,2728,354,656,2894,3731,NA,110810 11-23-15_BCG_023.fcs,110810 11-23-15,No
110810,18,451,n/a,2539,3163,274,641,2854,2992,NA,"110810 11-23-15_E,2f,C_024.fcs",110810 11-23-15,No
110810,18,538,733,5486,2681,348,677,3028,2433,NA,110810 11-23-15_SEB_025.fcs,110810 11-23-15,No
110810,18,471,906,810,3064,266,669,2793,2644,NA,110810 11-23-15_aNil_022.fcs,110810 11-23-15,Yes
110810,18,421,1112,3052,413,4751,661,2132,6120,NA,110810 12 month_BCG_024.fcs,110810 12 month,No
110810,18,389,1392,4761,421,2107,665,2301,3372,NA,"110810 12 month_E,2f,C_025.fcs",110810 12 month,No
110810,18,410,1136,3319,413,2588,663,2788,2099,NA,110810 12 month_Nil_023.fcs,110810 12 month,Yes
110810,18,409,2177,4142,564,6957,703,2107,2660,NA,110810 12 month_SEB_026.fcs,110810 12 month,No
111010,8,519,n/a,3462,3619,467,641,1867,2266,NA,111010_10-9-15_BCG_019.fcs,111010,No
111010,8,491,839,4913,4272,513,620,2099,4721,NA,"111010_10-9-15_E,2f,C_020.fcs",111010,No
111010,8,562,n/a,5246,2854,458,650,1615,2099,NA,111010_10-9-15_SEB_021.fcs,111010,No
111010,8,514,906,1030,4462,417,637,2048,1099,NA,111010_10-9-15_aNil_018.fcs,111010,Yes
111010,8,526,2588,3010,5029,438,657,1558,4585,NA,111010_12-10-15_BCG_024.fcs,111010,No
111010,8,495,887,7921,4711,830,657,1442,6080,NA,"111010_12-10-15_E,2f,C_023.fcs",111010,No
111010,8,548,1360,5799,3332,481,673,1544,2578,NA,111010_12-10-15_SEB_025.fcs,111010,No
111010,8,512,1540,873,4343,781,654,1400,1991,NA,111010_12-10-15_aNil_022.fcs,111010,Yes
120110,6,378,2405,1258,329,1360,697,2048,5925,1588,120110_Bcg_022.fcs,120110,No
120110,6,411,2056,1350,343,769,679,2076,3266,1576,120110_CD3_023.fcs,120110,No
120110,6,386,798,1397,360,1295,649,2103,2457,1627,120110_aNil_021.fcs,120110,Yes
120110,6,NA,NA,837,2544,302,992,1237,2013,2917,120110_aNil_023.fcs,120110,Yes
120110,6,NA,NA,1735,2305,322,753,1152,9555,2981,120110_bBCG_024.fcs,120110,No
120110,6,NA,NA,1552,2350,301,877,1123,3547,3064,120110_cCD3_025.fcs,120110,No
13511,8,NA,NA,1059,3028,333,893,1950,3420,4074,13511_aNil_036.fcs,13511,Yes
13511,8,NA,NA,3352,2871,289,743,2128,15312,5050,13511_bBCG_037.fcs,13511,No
13511,8,NA,NA,1117,3292,282,858,2152,4893,4821,13511_cCD3_038.fcs,13511,No
13511,8,NA,NA,6703,1136,5912,750,1811,1777,2739,13511_BCG_029.fcs,13511,No
13511,8,NA,NA,7095,984,8081,873,1310,1972,2992,"13511_E,2f,C_028.fcs",13511,No
13511,8,NA,NA,5347,1051,4575,1141,1512,1863,2691,13511_HIV_030.fcs,13511,No
13511,8,NA,NA,6631,1049,8318,732,1424,1722,3028,13511_Nil_027.fcs,13511,Yes
13511,8,NA,NA,6911,873,5701,1325,1235,1946,2288,13511_SEB_031.fcs,13511,No
20520,9,512,3847,2288,546,2152,703,3959,3126,1544,20520 18-Dec-14_BCG_023.fcs,20520 18-Dec-14,No
20520,9,473,1828,2249,385,941,718,3532,1397,1655,"20520 18-Dec-14_E,2f,C_024.fcs",20520 18-Dec-14,No
20520,9,513,1603,2040,324,920,767,3823,2495,1440,20520 18-Dec-14_Nil_022.fcs,20520 18-Dec-14,Yes
20520,9,510,5007,1828,413,1006,737,3754,3089,1379,20520 18-Dec-14_SEB_025.fcs,20520 18-Dec-14,No
20520,9,NA,NA,22079,2068,15819,828,2500,1624,3420,20520_BCG_025.fcs,20520,No
20520,9,NA,NA,21010,2006,16887,849,2346,1771,3305,20520_BCG_024.fcs,20520,No
20520,9,NA,NA,22502,1489,14151,857,1870,1239,3539,"20520_E,2f,C_026.fcs",20520,No
20520,9,NA,NA,23261,1968,15782,851,2240,1283,4066,20520_Nil_023.fcs,20520,Yes
20520,9,NA,NA,6531,1791,1573,816,2025,3089,3286,20520_SEB_027.fcs,20520,No
211310,9,n/a,2215,3352,2249,497,687,2529,3894,NA,211310_BCG FMT_034.fcs,211310,No
211310,9,536,2022,5029,2244,380,698,2193,3612,NA,211310_BCG_033.fcs,211310,No
211310,9,485,1546,633,2447,433,700,2500,3151,NA,"211310_E,2f,C_032.fcs",211310,No
211310,9,483,1834,1020,2033,421,707,2382,3259,NA,211310_Nil_031.fcs,211310,Yes
211310,9,497,1838,4490,1839,488,736,1953,2697,NA,211310_SEB_035.fcs,211310,No
211310,9,450,3126,2578,4142,570,672,2849,3201,1355,211310 26Oct15_BCG_031.fcs,211310 26Oct15,No
211310,9,427,1863,3476,4721,406,668,2843,3058,1501,"211310 26Oct15_E,2f,C_032.fcs",211310 26Oct15,No
211310,9,431,1609,2002,4389,412,679,2609,2297,1440,211310 26Oct15_SEB_033.fcs,211310 26Oct15,No
211310,9,454,2712,747,3568,331,668,2275,2871,1429,211310 26Oct15_aNil_030.fcs,211310 26Oct15,Yes
212130,7,405,4547,1728,347,1145,639,3345,6616,1561,212130_BCG_030.fcs,212130,No
212130,7,447,1983,1767,336,733,614,2987,3626,1564,212130_CD3_031.fcs,212130,No
212130,7,403,1190,1686,313,1244,613,2554,3413,1699,212130_aNil_029.fcs,212130,Yes
212130,7,X,3413,2314,402,1715,647,974,4955,1832,212130_BCG_023.fcs,212130,No
212130,7,X,2231,2198,480,2359,665,948,3299,1573,"212130_E,2f,C_024.fcs",212130,No
212130,7,X,1320,2917,970,1874,684,1018,2419,1699,212130_aNil_022.fcs,212130,Yes
212130,7,X,1825,2639,356,1095,694,1106,3863,1863,212130_zCD3_025.fcs,212130,No
212231,8,389,2639,1794,755,1453,634,1538,4398,1529,212231_BCG_019.fcs,212231,No
212231,8,355,4074,1761,745,1558,745,1674,2644,1325,212231_aNil_018.fcs,212231,Yes
212231,8,387,4872,1884,750,1639,666,1512,4841,1561,"212231_cE,2f,C_020.fcs",212231,No
212231,8,360,1055,1860,705,1748,860,1515,2355,1677,212231_dCD3_021.fcs,212231,No
212231,8,358,888,1979,774,1538,689,1555,2495,1594,212231_eHIV_022.fcs,212231,No
212231,8,NA,NA,851,4099,383,791,1190,2471,3070,212231_aNil_018.fcs,212231,Yes
212231,8,NA,NA,1206,3266,321,712,1193,7189,3286,212231_bBCG_019.fcs,212231,No
212231,8,NA,NA,1063,3678,335,713,1211,2975,3101,212231_cCD3_020.fcs,212231,No
21430,8,438,2364,2387,2136,343,774,2849,3590,1715,21430 27-07-15_BCG_032.fcs,21430 27-07-15,No
21430,8,409,1588,5556,2593,431,708,2987,4193,1798,"21430 27-07-15_E,2f,C_033.fcs",21430 27-07-15,No
21430,8,443,2091,968,2292,1758,791,2917,2123,1705,21430 27-07-15_Nil_031.fcs,21430 27-07-15,Yes
21430,8,453,1696,2305,2573,365,745,2877,3305,1935,21430 27-07-15_SEB_034.fcs,21430 27-07-15,No
21430,8,NA,NA,10202,1386,4444,633,2037,6133,1263,21430_BCG_024.fcs,21430,No
21430,8,NA,NA,1285,1051,10110,643,1199,2433,1529,"21430_E,2f,C_023.fcs",21430,No
21430,8,NA,NA,1317,1297,14961,619,1206,2660,1186,21430_Nil_022.fcs,21430,Yes
21430,8,NA,NA,7414,1345,2686,885,1456,5938,1661,21430_SEB_025.fcs,21430,No
22020,8,NA,NA,1022,1464,5737,1026,1283,3170,1585,22020_BCG_029.fcs,22020,No
22020,8,NA,NA,1172,1394,8027,846,1206,4193,1567,"22020_E,2f,C_028.fcs",22020,No
22020,8,NA,NA,1101,1402,7003,857,1263,5462,1518,22020_Nil_027.fcs,22020,Yes
22020,8,NA,NA,3619,1249,6616,862,1040,5268,1487,22020_SEB_030.fcs,22020,No
22020,8,545,1822,844,3010,348,759,1168,3785,1484,22020 23Feb15_BCG_023.fcs,22020 23Feb15,No
22020,8,504,3504,1603,3107,444,643,1332,3126,1564,"22020 23Feb15_E,2f,C_024.fcs",22020 23Feb15,No
22020,8,468,978,2288,3208,434,667,1368,2505,1555,22020 23Feb15_SEB_025.fcs,22020 23Feb15,No
22020,8,547,2210,3469,3022,409,663,1237,2957,1320,22020 23Feb15_aNil_022.fcs,22020 23Feb15,Yes
22620,8,735,801,901,5257,584,650,1225,2681,NA,22620_BCG_024.fcs,22620,No
22620,8,728,907,1448,5279,1036,816,1010,3064,NA,"22620_E,2f,C_025.fcs",22620,No
22620,8,707,775,1006,5029,380,740,658,2992,NA,22620_Nil_023.fcs,22620,Yes
22620,8,700,890,3366,5628,615,869,1132,2934,NA,22620_SEB_026.fcs,22620,No
22620,8,574,1774,4711,2275,281,765,3352,4272,2080,22620 14-09-15_BCG_023.fcs,22620 14-09-15,No
22620,8,500,1649,7446,3332,599,660,3518,4057,2048,"22620 14-09-15_E,2f,C_024.fcs",22620 14-09-15,No
22620,8,468,2655,695,3448,1363,676,3934,2877,2328,22620 14-09-15_Nil_022.fcs,22620 14-09-15,Yes
22620,8,579,1621,6733,2283,233,720,2495,3612,1902,22620 14-09-15_SEB_025.fcs,22620 14-09-15,No
23320,7,NA,NA,1242,3113,345,927,1529,3746,2928,23320_aNil_041.fcs,23320,Yes
23320,7,NA,NA,3590,2877,329,774,1624,6488,2969,23320_bBCG_042.fcs,23320,No
23320,7,NA,NA,3058,2660,369,821,1579,7446,3132,23320_cCD3_043.fcs,23320,No
23320,7,494,5324,7221,2777,414,781,1197,4352,1555,23320 30Mar15_BCG_035.fcs,23320 30Mar15,No
23320,7,449,2373,4955,2634,1028,812,1738,3145,1473,"23320 30Mar15_E,2f,C_036.fcs",23320 30Mar15,No
23320,7,541,682,6689,1983,409,679,1161,3934,1689,23320 30Mar15_SEB_037.fcs,23320 30Mar15,No
23320,7,475,2319,1661,2899,362,686,1424,2558,1549,23320 30Mar15_aNil_034.fcs,23320 30Mar15,Yes
23940,7,445,3469,2563,2341,2697,857,1722,3739,1440,23940 AscSero+ 2month 11-Jan-15_BCG_019.fcs,23940 AscSero+ 2month 11-Jan-15,No
23940,7,388,782,1432,2253,1722,948,3583,7800,1523,"23940 AscSero+ 2month 11-Jan-15_E,2f,C_020.fcs",23940 AscSero+ 2month 11-Jan-15,No
23940,7,401,1057,1445,2634,271,805,1677,4263,1594,23940 AscSero+ 2month 11-Jan-15_Nil_018.fcs,23940 AscSero+ 2month 11-Jan-15,Yes
23940,7,448,3400,3967,2373,369,788,1538,4150,1337,23940 AscSero+ 6month 1-Oct-15_BCG_023.fcs,23940 AscSero+ 6month 1-Oct-15,No
23940,7,421,1091,823,2173,309,779,1618,3604,1360,"23940 AscSero+ 6month 1-Oct-15_E,2f,C_024.fcs",23940 AscSero+ 6month 1-Oct-15,No
23940,7,426,990,764,1972,351,789,1523,3393,1397,23940 AscSero+ 6month 1-Oct-15_Nil_022.fcs,23940 AscSero+ 6month 1-Oct-15,Yes
23940,7,430,1108,5191,1722,310,730,1582,2514,1386,23940 AscSero+ 6month 1-Oct-15_SEB_025.fcs,23940 AscSero+ 6month 1-Oct-15,No
27231,9,585,967,9156,6133,725,681,2981,4692,NA,27231_20-10-15_BCG_032.fcs,27231,No
27231,9,564,726,7446,6281,518,681,4841,3518,NA,"27231_20-10-15_E,2f,C_033.fcs",27231,No
27231,9,601,n/a,5324,5180,453,726,1413,1917,NA,27231_20-10-15_SEB_034.fcs,27231,No
27231,9,574,1009,1038,6531,922,691,3678,1358,NA,27231_20-10-15_aNil_031.fcs,27231,Yes
27231,9,561,754,1320,6173,365,681,4481,1310,NA,27231_20-10-15_zHIV_035.fcs,27231,No
27231,9,402,5486,3046,302,1101,796,6253,4228,1689,27231 20-Aug-15_BCG_019.fcs,27231 20-Aug-15,No
27231,9,387,6631,3539,298,886,786,5900,3739,2068,"27231 20-Aug-15_E,2f,C_020.fcs",27231 20-Aug-15,No
27231,9,412,2578,3246,443,1983,747,5713,3441,1459,27231 20-Aug-15_Nil_018.fcs,27231 20-Aug-15,Yes
27231,9,460,6926,2793,427,2364,805,5114,2712,1506,27231 20-Aug-15_SEB_021.fcs,27231 20-Aug-15,No
29740,8,767,690,7714,2509,438,658,1295,3240,NA,29740_BCG_019.fcs,29740,No
29740,8,808,653,764,2865,453,660,1244,2519,NA,"29740_E,2f,C_020.fcs",29740,No
29740,8,898,1021,7446,3070,554,669,738,3504,NA,29740_SEB_021.fcs,29740,No
29740,8,837,890,873,3227,443,653,1389,3583,NA,29740_nil_018.fcs,29740,Yes
29740,8,510,3113,1475,1983,377,767,1170,4263,1576,29740 7Dec15_BCG_027.fcs,29740 7Dec15,No
29740,8,457,2476,4032,2337,857,777,1082,3575,1345,"29740 7Dec15_E,2f,C_028.fcs",29740 7Dec15,No
29740,8,521,1754,2854,2691,603,728,1108,4024,1492,29740 7Dec15_SEB_029.fcs,29740 7Dec15,No
29740,8,514,3504,821,2368,381,886,1152,3792,1413,29740 7Dec15_aNil_026.fcs,29740 7Dec15,Yes
